order_id,customer_id,segment,date,product,category,region,city,quantity,unit_price,discount,Revenue ,Profit
ORD-000054,CUST-3212,Consumer,2023-07-11,SSD Drive,Technology,Central,Dallas,2,138.9,0.0,277.8,53.68
ORD-000055,CUST-3222,Consumer,2024-04-29,USB Hub,Technology,Central,Chicago,2,41.6,0.0,83.2,11.57
ORD-000056,CUST-3358,Consumer,2022-02-10,USB Hub,Technology,South,Austin,2,44.02,0.2,70.43,10.47
ORD-000057,CUST-2117,Consumer,2023-03-28,Headphones,Technology,Central,Minneapolis,3,155.2,0.1,419.04,82.87
ORD-000058,CUST-3187,Consumer,2022-09-19,Headphones,Technology,Central,Minneapolis,2,153.9,0.2,246.24,37.59
ORD-000059,CUST-1866,,2023-12-11,Office Chair,Furniture,East,Boston,1,333.94,0.0,333.94,79.84
ORD-000060,CUST-2926,Consumer,2023-06-01,USB Hub,Technology,Central,Minneapolis,7,38.64,0.1,243.43,34.99
ORD-000061,CUST-1816,Corporate,2022-03-05,Desk Lamp,Furniture,Central,Chicago,1,61.9,0.05,58.8,15.43
ORD-000062,CUST-2049,Corporate,2023-03-23,Paper Ream,Office Supplies,East,New York,1,8.91,0.0,8.91,3.26
ORD-000063,CUST-3774,Home Office,2022-12-19,Printer,Technology,Central,Dallas,3,306.65,0.0,919.95,168.32
ORD-000064,CUST-2235,Home Office,2022-07-28,Filing Cabinet,Furniture,East,Boston,1,166.06,0.0,166.06,43.13
ORD-000065,CUST-2720,Corporate,2024-12-01,Pen Set,Office Supplies,East,Miami,3,20.16,0.0,60.48,20.19
ORD-000066,CUST-3664,Consumer,2022-12-27,Headphones,Technology,Central,Minneapolis,4,171.86,0.25,515.58,113.28
ORD-000067,CUST-2005,Corporate,2023-07-04,Tape Dispenser,Office Supplies,East,Atlanta,4,12.28,0.25,36.84,13.42
ORD-000068,CUST-3024,Home Office,2024-02-16,SSD Drive,Technology,Central,Kansas City,1,113.78,0.05,108.09,23.76
ORD-000069,CUST-3872,Home Office,2023-07-27,Mouse,Technology,Central,Houston,1,46.44,0.15,39.47,5.53
ORD-000070,CUST-1984,Corporate,2024-09-27,Filing Cabinet,Furniture,West,Phoenix,1,188.83,0.0,188.83,35.14
ORD-000071,CUST-3833,Consumer,2023-08-26,Calendar,Office Supplies,Central,Chicago,3,16.23,0.25,36.52,13.34
ORD-000072,CUST-3254,Consumer,2024-05-21,Binder,Office Supplies,East,Philadelphia,4,8.26,0.25,24.78,8.02
ORD-000073,CUST-3194,Home Office,2023-01-30,Sticky Notes,Office Supplies,West,Los Angeles,4,5.69,0.1,20.48,7.47
ORD-000074,CUST-1411,Corporate,2024-12-10,Paper Ream,Office Supplies,Central,Houston,3,8.84,0.05,25.19,8.99
ORD-000075,CUST-1223,Corporate,2022-09-17,Headphones,Technology,East,Atlanta,2,158.06,0.0,316.12,49.48
ORD-000076,CUST-2804,Consumer,2023-08-06,Stapler,Office Supplies,West,Los Angeles,9,20.31,0.25,137.09,46.52
ORD-000077,CUST-3363,Corporate,2024-03-31,Sticky Notes,Office Supplies,West,Los Angeles,3,6.71,0.25,15.1,5.73
ORD-000078,CUST-2704,Corporate,2022-08-31,Keyboard,Technology,West,San Francisco,3,85.07,,229.69,41.17
ORD-000079,CUST-2756,Consumer,2023-09-01,Paper Ream,Office Supplies,East,Miami,4,7.27,0.2,23.26,7.63
ORD-000080,CUST-1332,Consumer,2023-03-09,Scissors,Office Supplies,South,Nashville,3,8.57,0.0,25.71,8.17
ORD-000081,CUST-1948,Consumer,2024-08-20,Monitor,Technology,West,Phoenix,8,396.25,0.0,3170.0,702.11
ORD-000082,CUST-3230,Consumer,2023-02-10,SSD Drive,Technology,Central,Houston,1,124.94,0.0,124.94,27.84
ORD-000083,CUST-3331,Home Office,2023-09-22,Webcam,Technology,West,San Francisco,8,92.95,0.0,743.6,168.32
ORD-000084,CUST-2793,Consumer,2024-10-21,Storage Ottoman,Furniture,Central,Houston,1,121.65,0.1,109.49,22.83
ORD-000085,CUST-3761,Corporate,2022-07-07,USB Hub,Technology,East,New York,2,44.21,0.15,75.16,11.04
ORD-000086,CUST-2811,Home Office,2024-08-21,Office Chair,Furniture,East,Boston,7,325.45,0.1,2050.34,491.27
ORD-000087,CUST-2672,Consumer,2022-07-06,Printer,Technology,East,Miami,1,285.89,0.2,228.71,43.8
ORD-000088,CUST-2640,Corporate,2023-08-14,Stapler,Office Supplies,East,Miami,1,25.23,0.15,21.45,7.55
ORD-000089,CUST-2655,Home Office,2022-08-26,Storage Ottoman,Furniture,East,Philadelphia,4,122.45,,489.8,117.41
ORD-000090,CUST-3041,Corporate,2024-11-27,Notebook,Office Supplies,East,Boston,2,12.73,0.25,19.09,6.29
ORD-000091,CUST-2985,Consumer,2024-06-16,Paper Ream,Office Supplies,East,Philadelphia,5,8.74,0.1,39.33,15.21
ORD-000092,CUST-1381,Consumer,2022-01-29,Scissors,Office Supplies,Central,Houston,2,11.24,0.05,21.36,7.48
ORD-000093,CUST-2195,Corporate,2024-10-17,Pen Set,Office Supplies,South,,3,19.61,0.25,44.12,16.33
ORD-000094,CUST-3455,Corporate,2022-10-24,SSD Drive,Technology,West,Denver,6,141.54,0.25,636.93,104.33
ORD-000095,CUST-3079,Consumer,2023-11-28,Pen Set,Office Supplies,Central,Minneapolis,1,17.33,0.1,15.6,5.58
ORD-000096,CUST-3260,Corporate,2024-09-18,Webcam,Technology,South,Tampa,2,81.77,0.25,122.66,22.6
ORD-000097,CUST-2682,Consumer,2024-02-24,Desk Lamp,Furniture,South,Nashville,3,60.84,0.05,173.39,30.01
ORD-000098,CUST-1517,Corporate,2024-10-11,Highlighters,Office Supplies,South,,5,12.06,0.2,48.24,16.21
ORD-000099,CUST-2679,Home Office,2022-02-01,Standing Desk,Furniture,West,Phoenix,2,603.92,0.25,905.88,223.75
ORD-000100,CUST-2628,Corporate,2023-11-25,Pen Set,Office Supplies,Central,Houston,3,16.47,0.25,37.06,11.43
ORD-000101,CUST-1961,Corporate,2022-03-15,Tape Dispenser,Office Supplies,South,Tampa,2,9.52,0.2,15.23,5.39
ORD-000102,CUST-3842,Consumer,2022-07-25,Paper Ream,Office Supplies,East,New York,4,8.33,0.0,33.32,13.25
ORD-000103,CUST-3792,Corporate,2024-12-19,Headphones,Technology,West,,2,180.88,0.0,361.76,75.8
ORD-000104,CUST-1586,Consumer,2024-10-16,Monitor,Technology,East,Boston,2,325.94,0.2,521.5,71.89
ORD-000105,CUST-1647,Consumer,2023-08-13,Calendar,Office Supplies,Central,Minneapolis,8,13.72,0.1,98.78,37.89
ORD-000106,CUST-2237,Consumer,2023-05-28,Scissors,Office Supplies,East,Miami,2,10.59,0.1,19.06,6.05
ORD-000107,CUST-3864,Consumer,2024-01-06,Storage Ottoman,Furniture,West,Denver,1,98.66,0.0,98.66,22.19
ORD-000108,CUST-2172,Corporate,2024-10-14,Highlighters,Office Supplies,West,Los Angeles,3,14.9,0.1,40.23,13.2
ORD-000109,CUST-3952,Corporate,2023-05-29,Headphones,Technology,East,Atlanta,4,204.56,0.05,777.33,144.14
ORD-000110,CUST-1136,Corporate,2023-09-25,Stapler,Office Supplies,South,New Orleans,2,22.74,0.0,45.48,14.77
ORD-000111,CUST-3209,Home Office,2022-12-26,Pen Set,Office Supplies,East,Miami,4,17.22,0.1,61.99,18.69
ORD-000112,CUST-2387,Corporate,2023-08-28,Whiteboard,Furniture,West,Phoenix,1,132.72,0.0,132.72,23.1
ORD-000113,CUST-3282,Consumer,2024-03-24,Standing Desk,Furniture,Central,Dallas,4,752.51,0.0,3010.04,654.44
ORD-000114,CUST-3753,Consumer,2024-01-25,Notebook,Office Supplies,East,Miami,2,10.55,0.1,18.99,6.6
ORD-000115,CUST-3299,Consumer,2022-02-21,Desk Lamp,Furniture,Central,Minneapolis,2,58.63,,117.26,24.61
ORD-000116,CUST-3017,Consumer,2022-11-10,Pen Set,Office Supplies,South,Charlotte,3,18.63,0.25,41.92,12.77
ORD-000117,CUST-3976,Consumer,2024-05-08,Tablet,Technology,East,Philadelphia,3,481.19,0.0,1443.57,260.3
ORD-000118,CUST-1889,Consumer,2022-03-09,Standing Desk,Furniture,East,Philadelphia,3,752.72,0.25,1693.62,315.51
ORD-000119,CUST-2862,Consumer,2023-11-04,Binder,Office Supplies,South,Charlotte,3,7.84,0.0,23.52,7.12
ORD-000120,CUST-3312,Consumer,2023-05-14,Printer,technology,West,Seattle,7,287.21,0.0,2010.47,377.06
ORD-000121,CUST-3441,Consumer,2023-11-04,Tape Dispenser,Office Supplies,East,Boston,3,10.63,0.05,30.3,10.48
ORD-000122,CUST-1105,Consumer,2022-08-14,Stapler,Office Supplies,East,Boston,7,22.3,0.0,156.1,52.86
ORD-000123,CUST-1260,Consumer,2023-11-24,Filing Cabinet,Furniture,West,Seattle,6,204.9,0.15,1044.99,198.11
ORD-000124,CUST-3698,Corporate,2022-03-30,Tape Dispenser,Office Supplies,East,Boston,1,9.58,0.0,9.58,2.89
ORD-000125,CUST-3008,Corporate,2024-05-23,Office Chair,Furniture,South,Tampa,3,281.07,0.0,843.21,149.35
ORD-000126,CUST-3593,Corporate,2022-09-16,Standing Desk,Furniture,East,New York,5,643.07,0.15,2733.05,470.98
ORD-000127,CUST-3681,Corporate,2024-11-28,Highlighters,Office Supplies,East,Atlanta,1,15.32,0.1,13.79,4.3
ORD-000128,CUST-2857,Consumer,2024-04-27,Paper Ream,Office Supplies,East,Boston,3,8.47,0.2,20.33,7.88
ORD-000129,CUST-3813,Home Office,2024-02-06,Binder,Office Supplies,East,Philadelphia,5,9.63,0.2,38.52,12.64
ORD-000130,CUST-3402,Home Office,2022-09-24,Monitor,Technology,East,Philadelphia,4,316.13,0.0,1264.52,266.41
ORD-000131,CUST-3459,Consumer,2022-04-16,Standing Desk,Furniture,East,Miami,2,780.06,0.2,1248.1,258.61
ORD-000132,CUST-2434,Corporate,2023-04-05,Tablet,Technology,West,Phoenix,2,541.46,0.05,1028.77,229.49
ORD-000133,CUST-3694,Corporate,2022-02-23,Whiteboard,Furniture,Central,Kansas City,2,166.13,0.05,315.65,77.36
ORD-000134,CUST-1743,Home Office,2023-11-27,Keyboard,Technology,Central,Houston,1,91.49,0.1,82.34,18.14
ORD-000135,CUST-1881,Consumer,2022-07-07,Monitor Stand,Furniture,West,,5,55.09,0.0,275.45,55.64
ORD-000136,CUST-1637,Consumer,2022-06-23,Bookshelf,Furniture,East,Philadelphia,2,246.1,0.15,418.37,71.58
ORD-000137,CUST-2696,Consumer,2024-09-21,Pen Set,Office Supplies,East,Miami,1,20.19,0.1,18.17,6.03
ORD-000138,CUST-2263,Consumer,2024-09-23,Pen Set,Office Supplies,East,Philadelphia,8,20.43,0.15,138.92,49.64
ORD-000139,CUST-2185,Consumer,2022-10-09,Office Chair,Furniture,West,San Francisco,2,332.66,0.0,665.32,132.61
ORD-000140,CUST-3736,Corporate,2023-04-17,USB Hub,Technology,West,Denver,3,37.94,0.0,113.82,23.36
ORD-000141,CUST-3348,Consumer,2023-10-04,Laptop,Technology,West,Los Angeles,4,1304.97,0.2,4175.9,580.95
ORD-000142,CUST-3531,Consumer,2022-12-18,Sticky Notes,Office Supplies,East,Philadelphia,1,5.99,0.0,5.99,2.13
ORD-000143,CUST-2640,Corporate,2023-05-14,Binder,Office Supplies,East,New York,6,8.84,0.0,53.04,17.77
ORD-000144,CUST-1467,Corporate,2022-06-06,Whiteboard,Furniture,West,San Francisco,1,132.77,0.15,112.85,27.78
ORD-000145,CUST-3467,Consumer,2023-11-06,Headphones,Technology,Central,Dallas,1,186.38,0.15,158.42,21.93
ORD-000146,CUST-3373,Consumer,2024-08-08,Pen Set,Office Supplies,South,Tampa,1,19.09,0.0,19.09,7.3
ORD-000147,CUST-2920,Consumer,2022-11-06,Scissors,Office Supplies,South,Charlotte,1,10.62,0.15,9.03,2.79
ORD-000148,CUST-1154,Consumer,2023-09-28,Webcam,Technology,East,New York,2,108.87,0.0,217.74,36.38
ORD-000149,CUST-3270,Home Office,2024-02-27,Pen Set,Office Supplies,East,Atlanta,7,19.69,0.0,137.83,54.94
ORD-000150,CUST-2948,Corporate,2023-01-21,Notebook,Office Supplies,South,Austin,2,12.91,0.25,19.37,5.97
ORD-000151,CUST-1706,Consumer,2022-06-22,Calendar,Office Supplies,Central,Houston,3,17.33,0.0,51.99,17.8
ORD-000152,CUST-2385,Corporate,2024-03-04,Calendar,Office Supplies,East,Philadelphia,1,17.95,0.0,17.95,6.27
ORD-000153,CUST-3964,Home Office,2024-03-02,Headphones,Technology,East,Atlanta,2,153.61,0.0,307.22,41.67
ORD-000154,CUST-2270,Home Office,2022-10-17,Scissors,Office Supplies,East,Atlanta,1,8.86,0.0,8.86,3.23
ORD-000155,CUST-3635,Corporate,2023-09-27,Highlighters,Office Supplies,East,New York,3,15.03,0.0,45.09,17.87
ORD-000156,CUST-2485,Consumer,2024-11-07,Tape Dispenser,Office Supplies,East,Miami,1,10.59,0.0,10.59,4.1
ORD-000157,CUST-2379,Home Office,2022-11-22,Binder,Office Supplies,West,San Francisco,8,8.25,0.25,49.5,14.91
ORD-000158,CUST-1178,Consumer,2022-12-06,Scissors,Office Supplies,West,San Francisco,1,11.41,0.2,9.13,3.55
ORD-000159,CUST-2267,Home Office,2023-04-25,Paper Ream,Office Supplies,East,Miami,10,8.07,,60.53,18.61
ORD-000160,CUST-2154,Corporate,2024-06-21,Paper Ream,Office Supplies,Central,Kansas City,8,8.13,0.15,55.28,19.48
ORD-000161,CUST-1213,Corporate,2022-10-11,Monitor Stand,Furniture,Central,Kansas City,3,57.14,0.0,171.42,36.93
ORD-000162,CUST-1656,Consumer,2022-09-13,Tape Dispenser,Office Supplies,Central,Kansas City,3,11.42,0.0,34.26,13.37
ORD-000163,CUST-1109,Consumer,2024-07-12,Stapler,Office Supplies,West,San Francisco,1,19.0,0.2,15.2,6.0
ORD-000164,CUST-2305,Home Office,2024-02-07,Desk Lamp,Furniture,East,New York,2,72.61,0.05,137.96,32.01
ORD-000165,CUST-1568,,2024-08-25,Binder,Office Supplies,West,Seattle,1,8.4,0.0,8.4,2.91
ORD-000166,CUST-3978,Corporate,2022-11-03,Office Chair,Furniture,West,San Francisco,3,305.92,0.0,917.76,163.15
ORD-000167,CUST-3551,Consumer,2023-05-04,Whiteboard,Furniture,East,New York,9,171.35,0.05,1465.04,351.34
ORD-000168,CUST-2193,Consumer,2023-05-11,SSD Drive,Technology,East,Atlanta,2,131.41,0.0,262.82,55.55
ORD-000169,CUST-1277,Home Office,2024-12-08,Paper Ream,Office Supplies,West,,1,8.44,0.2,6.75,2.64
ORD-000170,CUST-2038,Corporate,2024-03-03,Office Chair,Furniture,South,New Orleans,7,350.96,0.2,1965.38,476.75
ORD-000171,CUST-3632,Consumer,2023-12-27,Standing Desk,Furniture,West,Los Angeles,2,703.14,0.15,1195.34,314.7
ORD-000172,CUST-2874,Consumer,2022-05-10,Calendar,Office Supplies,East,Boston,1,17.76,0.25,13.32,4.03
ORD-000173,CUST-3224,Consumer,2024-11-21,Mouse,Technology,East,Philadelphia,5,43.33,0.0,216.65,49.55
ORD-000174,CUST-2507,Consumer,2023-11-11,Mouse,Technology,East,New York,3,40.28,0.1,108.76,18.28
ORD-000175,CUST-2504,Home Office,2024-10-13,Storage Ottoman,Furniture,East,Boston,5,125.51,0.2,502.04,127.43
ORD-000176,CUST-2315,Consumer,2023-01-05,Standing Desk,Furniture,West,Denver,2,673.61,0.2,1077.78,212.69
ORD-000177,CUST-2439,Consumer,2022-12-08,Webcam,Technology,East,Miami,5,82.36,0.1,370.62,78.31
ORD-000178,CUST-2663,Consumer,2022-06-03,Binder,Office Supplies,West,Los Angeles,10,10.35,0.2,82.8,29.44
ORD-000179,CUST-3642,,2022-11-25,Stapler,Office Supplies,West,Denver,7,23.78,0.0,166.46,64.08
ORD-000180,CUST-1314,Corporate,2024-02-01,Office Chair,Furniture,Central,Houston,2,295.75,0.0,591.5,108.19
ORD-000181,CUST-2585,Home Office,2022-12-17,Monitor Stand,Furniture,East,Boston,3,62.49,0.15,159.35,30.73
ORD-000182,CUST-3011,Consumer,2023-08-08,Webcam,Technology,West,Denver,3,99.89,0.25,224.75,37.27
ORD-000183,CUST-2309,Corporate,2022-06-29,Monitor,Technology,West,Phoenix,3,309.42,0.25,696.19,126.73
ORD-000184,CUST-3083,Consumer,2022-12-23,Tape Dispenser,Office Supplies,South,Nashville,2,11.9,0.1,21.42,8.25
ORD-000185,CUST-2511,Consumer,2024-01-10,Stapler,Office Supplies,Central,Chicago,3,22.34,0.05,63.67,24.68
ORD-000186,CUST-2677,Corporate,2024-09-07,Stapler,Office Supplies,West,Phoenix,1,21.36,0.0,21.36,6.47
ORD-000187,CUST-1528,Consumer,2024-11-25,Headphones,Technology,East,Atlanta,3,193.78,0.0,581.34,116.51
ORD-000188,CUST-3125,Home Office,2024-11-12,Notebook,Office Supplies,East,Philadelphia,1,10.97,0.0,10.97,3.31
ORD-000189,CUST-3625,Consumer,2023-11-17,Sticky Notes,Office Supplies,East,,3,5.73,0.05,16.33,5.54
ORD-000190,CUST-3308,Consumer,2023-11-23,Stapler,Office Supplies,Central,Kansas City,6,21.59,0.0,129.54,43.37
ORD-000191,CUST-3343,Consumer,2023-06-27,Pen Set,Office Supplies,South,Austin,4,18.08,0.0,72.32,24.56
ORD-000192,CUST-3805,Consumer,2024-09-16,Calendar,Office Supplies,East,Philadelphia,5,16.59,0.1,74.66,29.49
ORD-000193,CUST-3484,Consumer,2024-08-09,Office Chair,Furniture,East,Miami,7,286.12,0.0,2002.84,439.05
ORD-000194,CUST-1434,Consumer,2024-01-29,Binder,Office Supplies,South,Nashville,2,8.35,0.15,14.19,5.65
ORD-000195,CUST-2573,Home Office,2022-04-14,Whiteboard,Furniture,West,Los Angeles,2,149.67,0.25,224.5,52.38
ORD-000196,CUST-3040,,2023-01-24,Bookshelf,Furniture,South,Charlotte,1,202.85,0.15,172.42,31.53
ORD-000197,CUST-1986,Consumer,2024-11-01,Whiteboard,Furniture,West,,1,133.26,0.25,99.94,18.38
ORD-000198,CUST-1440,Consumer,2023-08-09,Office Chair,Furniture,East,Miami,1,333.52,0.1,300.17,61.4
ORD-000199,CUST-1797,Consumer,2022-04-15,Binder,Office Supplies,East,Miami,2,10.07,0.2,16.11,5.91
ORD-000200,CUST-2388,Corporate,2022-12-12,USB Hub,Technology,Central,Houston,1,36.07,0.25,27.05,3.63
ORD-000201,CUST-2364,Corporate,2022-11-23,Bookshelf,Furniture,East,Miami,1,198.15,0.05,188.24,35.33
ORD-000202,CUST-2377,Corporate,2024-12-19,Bookshelf,Furniture,East,Atlanta,1,192.85,0.0,192.85,41.67
ORD-000203,CUST-1448,Home Office,2024-01-25,Storage Ottoman,Furniture,East,New York,2,100.31,0.1,180.56,39.78
ORD-000204,CUST-3390,Consumer,2023-04-12,Office Chair,Furniture,West,Denver,1,338.28,0.25,253.71,63.41
ORD-000205,CUST-3869,Consumer,2022-03-06,Monitor Stand,Furniture,Central,Dallas,1,57.11,0.0,57.11,14.7
ORD-000206,CUST-3504,Home Office,2024-04-20,Headphones,Technology,West,San Francisco,1,202.73,0.2,162.18,25.57
ORD-000207,CUST-2959,,2023-10-28,Notebook,Office Supplies,East,Atlanta,4,13.1,0.0,52.4,16.69
ORD-000208,CUST-3952,Corporate,2023-12-27,Keyboard,Technology,South,Charlotte,2,77.59,0.25,116.39,20.77
ORD-000209,CUST-1921,Home Office,2023-07-26,Sticky Notes,Office Supplies,West,San Francisco,2,6.21,0.25,9.31,3.22
ORD-000210,CUST-3295,Home Office,2023-10-12,Sticky Notes,Office Supplies,Central,Minneapolis,1,6.45,0.05,6.13,1.99
ORD-000211,CUST-2616,Corporate,2024-02-17,Sticky Notes,Office Supplies,West,Denver,6,6.38,0.1,34.45,12.1
ORD-000212,CUST-3686,Consumer,2023-12-11,Stapler,Office Supplies,West,Los Angeles,1,22.21,0.1,19.99,6.89
ORD-000213,CUST-1207,Corporate,2024-11-08,Filing Cabinet,Furniture,South,Charlotte,1,181.76,0.1,163.58,32.21
ORD-000214,CUST-1646,Consumer,2022-11-18,Filing Cabinet,Furniture,West,Seattle,1,173.37,0.0,173.37,35.06
ORD-000215,CUST-1242,Home Office,2023-10-20,Calendar,Office Supplies,Central,Houston,2,14.61,0.25,21.91,6.84
ORD-000216,CUST-1720,Home Office,2022-12-25,Printer,Technology,East,New York,3,312.8,0.05,891.48,176.43
ORD-000217,CUST-2165,Consumer,2024-11-11,USB Hub,Technology,West,Seattle,2,43.47,0.25,65.2,9.04
ORD-000218,CUST-1789,Corporate,2024-10-29,Tape Dispenser,Office Supplies,South,Nashville,3,11.12,0.25,25.02,9.37
ORD-000219,CUST-3325,Corporate,2023-11-22,SSD Drive,Technology,Central,Chicago,1,127.33,0.1,114.6,18.15
ORD-000220,CUST-1575,Consumer,2024-11-06,Printer,Technology,Central,Kansas City,3,268.5,0.2,644.4,120.55
